year,province,gdp,capital,labor,edu
1990,全国,9016.608,16247.13,60039,6.672
1991,全国,9844.236,17467.37,65120,6.893
1992,全国,11246.125,19277.08,65821.5,7.004
1993,全国,12816.57,21819.48,66480,7.114
1994,全国,14493.064,24916.52,67131.5,7.336
1995,全国,16076.429,28431.53,67760,7.446
1996,全国,17685.442,32235.84,68507.5,7.557
1997,全国,19329.663,36052.27,69385,7.743
1998,全国,20843.823,40185.37,70228.5,7.771
1999,全国,22432.088,44455.64,71015.5,7.845
2000,全国,24323.4,49099.32,71739.5,8.056
2001,全国,26342.319,54290.34,72441,8.295
2002,全国,28734.747,60529.97,73038.5,8.336
2003,全国,31615.514,68511.53,73508,8.472
2004,全国,34803.951,77752.2,74000,8.609
2005,全国,38566.236,88023.989,74455.5,8.374
2006,全国,43684.529,100293.101,74812.5,8.422
2007,全国,50080.998,114230.803,75149.5,8.522
2008,全国,55126.309,129918.893,75442.5,8.631
2009,全国,59725.328,151033.563,75696,8.743
2010,全国,65789.267,174468.29,75966.5,9.117
1990,北京,357.841,1240.28,627.85,8.844
1991,北京,393.267,1346.5,652.4,9.356
1992,北京,437.706,1501.38,663.95,9.611
1993,北京,491.544,1748.76,663.8,9.867
1994,北京,558.885,2114.87,670.35,10.379
1995,北京,625.952,2468.17,675.6,10.635
1996,北京,682.287,2769.3,665.2,10.891
1997,北京,751.198,3086.59,660.85,10.821
1998,北京,822.562,3465.94,642.55,10.919
1999,北京,912.221,3828.12,623.081,11.114
2000,北京,1019.863,4214.42,622.003,10.986
2001,北京,1139.187,4628.49,625.843,10.835
2002,北京,1270.194,5118.94,714.22,11.104
2003,北京,1409.915,5748.2,828.75,11.407
2004,北京,1608.713,6444.18,876.81,11.469
2005,北京,1803.368,7221.53,907.687,11.637
2006,北京,2037.805,8067.29,931.826,11.866
2007,北京,2333.287,9014.08,1027.36,11.802
2008,北京,2545.616,9588.421,1142.611,11.719
2009,北京,2805.269,10438.099,1214.44,11.859
2010,北京,3094.212,9317.251,1286.371,12.202
1990,天津,193.326,309.72,460.4,8.084
1991,天津,204.926,337.63,466.05,8.333
1992,天津,228.902,370.52,471.85,8.458
1993,天津,256.599,405.54,475.05,8.582
1994,天津,293.293,452.15,484.25,8.831
1995,天津,336.993,509.14,490.1,8.956
1996,天津,385.184,574.68,487.3,9.08
1997,天津,431.791,650.76,488.25,9.533
1998,天津,471.947,741.16,459.3,9.05
1999,天津,519.142,820.85,424.058,9.745
2000,天津,575.209,906.61,413.902,9.709
2001,天津,644.234,1010.56,408.595,9.747
2002,天津,726.052,1134.84,406.801,10.106
2003,天津,833.508,1302.37,411.391,10.078
2004,天津,965.202,1467.59,420.821,10.535
2005,天津,1109.017,1675.88,424.419,10.069
2006,天津,1272.043,1935.78,432.09,10.325
2007,天津,1469.21,2269.778,435.018,10.392
2008,天津,1711.629,2719.935,467.936,10.461
2009,天津,1994.048,3392.299,505.197,10.548
2010,天津,2341.012,3042.005,514.021,10.635
1990,河北,464.75,617.16,2977.75,6.708
1991,河北,515.872,679.85,3068.55,6.967
1992,河北,596.348,784.54,3144.55,7.097
1993,河北,701.902,917.36,3210.15,7.227
1994,河北,806.486,1076.31,3272.35,7.486
1995,河北,918.587,1269.75,3335.5,7.615
1996,河北,1042.596,1519.84,3379.25,7.745
1997,河北,1172.921,1813.36,3403.1,8.066
1998,河北,1298.423,2141.88,3398.95,8.293
1999,河北,1416.58,2493.45,3391.408,8.282
2000,河北,1551.155,2809.42,3420.58,8.258
2001,河北,1686.106,3122.58,3410.426,8.383
2002,河北,1847.972,3436.82,3382.604,8.695
2003,河北,2062.336,3824.28,3387.534,9.013
2004,河北,2328.378,4291.54,3402.918,8.962
2005,河北,2640.38,4945.51,3441.821,8.701
2006,河北,2994.191,5732.05,3506.886,8.563
2007,河北,3377.448,6664.958,3556.844,8.61
2008,河北,3718.57,7859.431,3609.426,8.771
2009,河北,4090.427,9228.569,3775.695,8.855
2010,河北,4589.459,8225.131,3844.956,9.17
1990,山西,200.435,419.02,1321.75,7.205
1991,山西,208.853,441.09,1356,7.512
1992,山西,234.96,463.86,1388.2,7.665
1993,山西,265.74,489.05,1408.35,7.818
1994,山西,293.111,519.61,1430.95,8.125
1995,山西,328.284,549.27,1454.15,8.278
1996,山西,367.022,579.65,1469.2,8.431
1997,山西,408.496,626.46,1480.6,8.474
1998,山西,448.937,702.34,1456.1,8.284
1999,山西,481.709,792.01,1431.655,8.635
2000,山西,526.99,877.86,1426.683,8.865
2001,山西,580.216,973.46,1416.001,8.986
2002,山西,655.063,1091.96,1415.122,9.095
2003,山西,752.668,1239.14,1443.383,9.141
2004,山西,867.073,1442.76,1472.022,9.117
2005,山西,984.128,1707.27,1475.474,9.13
2006,山西,1110.097,2034.89,1489.935,9.222
2007,山西,1286.602,2425.225,1526.799,9.211
2008,山西,1395.963,2827.089,1566.777,9.139
2009,山西,1471.345,3438.615,1591.552,9.217
2010,山西,1675.862,3075.698,1632.363,9.582
1990,内蒙古,168.432,284.95,910,6.897
1991,内蒙古,181.065,322.75,942.3,7.151
1992,内蒙古,200.982,375.46,971.2,7.278
1993,内蒙古,224.497,442.3,989.2,7.405
1994,内蒙古,249.64,504.52,1005.55,7.659
1995,内蒙古,274.854,565.89,1018.3,7.786
1996,内蒙古,314.433,644.8,1033.65,7.913
1997,内蒙古,348.392,740.15,1046.55,7.888
1998,内蒙古,385.669,834.68,1028.55,8.161
1999,内蒙古,419.608,931.85,1011.883,8.078
2000,内蒙古,464.926,1037.61,1016.782,8.201
2001,内蒙古,514.673,1162.54,1014.966,8.322
2002,内蒙古,582.61,1374.5,1011.717,8.483
2003,内蒙古,686.897,1796.37,1007.654,8.369
2004,内蒙古,827.711,2383.26,1012.177,8.754
2005,内蒙古,1024.706,3238.57,1030.137,8.858
2006,内蒙古,1220.425,4233.62,1057.964,8.569
2007,内蒙古,1454.747,5459.366,1078.167,8.65
2008,内蒙古,1713.692,6868.529,1092.409,8.699
2009,内蒙古,2003.306,8819.802,1122.875,8.794
2010,内蒙古,2303.801,7863.764,1163.571,9.304
1990,辽宁,703.046,284.29,1879.05,7.622
1991,辽宁,745.932,307.76,1911.4,7.898
1992,辽宁,836.19,335.04,1943.35,8.036
1993,辽宁,960.782,374.4,1953.05,8.174
1994,辽宁,1068.39,422,1980.6,8.45
1995,辽宁,1144.245,461.73,2021.6,8.588
1996,辽宁,1242.65,499.16,2032.45,8.726
1997,辽宁,1353.246,537.16,2047.1,8.92
1998,辽宁,1465.566,580.82,1940.75,8.747
1999,辽宁,1585.742,623.8,1807.304,8.888
2000,辽宁,1726.873,674.97,1804.487,8.796
2001,辽宁,1882.292,733.92,1822.975,8.848
2002,辽宁,2074.285,802.76,1837.692,8.994
2003,辽宁,2312.828,896.59,1851.652,9.466
2004,辽宁,2608.87,1039.78,1906.452,9.302
2005,辽宁,2940.197,1223.4,1965.1,9.254
2006,辽宁,3357.705,1463.33,2024.9,9.246
2007,辽宁,3861.36,1757.747,2071.231,9.253
2008,辽宁,4378.783,2254.905,2084.734,9.413
2009,辽宁,4952.403,2642.316,2144.083,9.512
2010,辽宁,5655.645,2364.842,2214.023,9.741
1990,吉林,196.959,285.95,1147.4,7.425
1991,吉林,208.58,311.53,1173.55,7.746
1992,吉林,234.027,342.97,1205.2,7.906
1993,吉林,263.748,399.82,1227.25,8.066
