city,lat,long,height,lat_d,long_d
北京,3948,11628,313,39.8,116.4666667
天津,3905,11704,25,39.08333333,117.0666667
石家庄,3804,11421,1036,38.06666667,114.35
太原,3747,11233,7783,37.78333333,112.55
呼和浩特,4049,11141,10630,40.81666667,111.6833333
沈阳,4144,12331,490,41.73333333,123.5166667
大连,3854,12138,915,38.9,121.6333333
长春,4354,12513,2368,43.9,125.2166667
哈尔滨,4545,12646,1423,45.75,126.7666667
上海,3124,12127,55,31.4,121.45
南京,3200,11848,71,32,118.8
杭州,3014,12010,417,30.23333333,120.1666667
宁波,3002,12206,357,30.03333333,122.1
合肥,3147,11718,270,31.78333333,117.3
福州,2605,11917,840,26.08333333,119.2833333
厦门,2429,11804,1394,24.48333333,118.0666667
南昌,2836,11555,467,28.6,115.9166667
济南,3636,11703,1703,36.6,117.05
青岛,3604,12020,760,36.06666667,120.3333333
郑州,3443,11339,1104,34.71666667,113.65
武汉,3037,11408,231,30.61666667,114.1333333
长沙,2812,11305,449,28.2,113.0833333
广州,2310,11320,410,23.16666667,113.3333333
深圳,2233,11400,630,22.55,114
南宁,2238,10813,1216,22.63333333,108.2166667
海口,2000,11015,635,20,110.25
重庆,2935,10628,2591,29.58333333,106.4666667
成都,3042,10350,5393,30.7,103.8333333
贵阳,2635,10644,12238,26.58333333,106.7333333
昆明,2501,10241,18924,25.01666667,102.6833333
西安,3426,10858,4100,34.43333333,108.9666667
兰州,3621,10356,16685,36.35,103.9333333
西宁,3643,10145,22952,36.71666667,101.75
银川,3829,10613,11114,38.48333333,106.2166667
乌鲁木齐,4347,8739,9350,43.78333333,87.65
