city,year,month,AQI,aqi_range,grade,PM2.5,PM10,SO2,CO,NO2,O3,excellent,good,low,mid,high,severe,pop_density,pop,green,con_area,car,gdp_rate,passenger,ind_SO2,ind_smoke,power,ind_control,gas_control,gdp,invest,lat,long,height,wind_speed,pressure,rain,mean_temp,sun,humid,low_temp,high_temp,heating,coast
北京,2014,1,125,26~402,轻度污染,94,123,51,1.948,65,37,4,8,7,9,2,1,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1471,268.98,3948,11628,313,1.9,1022.1,0,-0.6,192.4,45,-10.4,12.8,1,0
北京,2014,2,184,33~428,中度污染,148,155,56,2.171,69,42,4,5,6,2,3,7,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1471,268.98,3948,11628,313,2,1024.5,4.8,-0.4,107.9,55,-11.2,9.5,1,0
北京,2014,3,130,35~319,轻度污染,94,138,34,1.39,62,83,4,11,5,6,4,1,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1471,568.14,3948,11628,313,2.4,1015.7,0.9,10.1,233.8,37,-2.7,25.9,1,0
北京,2014,4,127,65~279,轻度污染,89,145,16,0.927,57,129,0,13,8,5,4,0,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1785.433333,510.65,3948,11628,313,2.2,1012.4,20.8,17.1,231.1,45,5.3,30.4,0,0
北京,2014,5,107,46~205,轻度污染,61,118,15,0.839,47,149,2,12,11,6,0,0,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1785.433333,590.47,3948,11628,313,2.8,1003.4,33.7,22.2,274.1,40,6.8,41.1,0,0
北京,2014,6,116,50~179,轻度污染,54,74,6,0.79,39,168,0,12,10,8,0,0,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1785.433333,799.08,3948,11628,313,2,1001.9,91.8,25.1,237.1,59,14.3,36.3,0,0
北京,2014,7,140,39~252,轻度污染,89,100,6,0.939,39,170,0,9,7,10,5,0,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1668.266667,653.99,3948,11628,313,2.1,1000.4,119.8,28.1,174.4,61,20.2,36.3,0,0
北京,2014,8,120,46~200,轻度污染,62,88,5,0.839,43,172,1,9,13,8,0,0,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1668.266667,739.99,3948,11628,313,1.8,1004.4,50.1,26.3,224.9,62,17.4,35.3,0,0
北京,2014,9,99,43~200,良,65,88,6,0.983,49,106,1,16,9,4,0,0,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,1668.266667,817.86,3948,11628,313,1.8,1010.6,127.6,21,157.3,66,10.3,32.8,0,0
北京,2014,10,154,28~381,中度污染,118,148,9,1.339,70,54,2,13,3,2,7,4,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,2185.566667,778.5,3948,11628,313,1.6,1016.5,12,14,122.9,65,3.2,24.4,0,0
北京,2014,11,117,29~342,轻度污染,86,127,16,1.567,65,37,3,16,3,2,3,1,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,2185.566667,649.06,3948,11628,313,1.9,1019.8,0,6.4,167.2,52,-2.1,20.2,1,0
北京,2014,12,86,21~267,良,58,95,28,1.552,53,42,7,15,3,3,2,0,812.5,2151.6,47.4,21677.7,435.7891,7.4,4362.833333,3362.25,1892.5,78.087375,0.633333333,0.516666667,2185.566667,916.57,3948,11628,313,2.5,1023.8,0,-0.5,221,34,-9.5,12.3,1,0
北京,2015,1,126,28~378,轻度污染,97,120,34,1.91,66,39,3,11,7,4,5,1,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1591.166667,270.585,3948,11628,313,2.1,1024.1,0.4,-0.6,198.3,43,-7.7,11.1,1,0
北京,2015,2,127,36~334,轻度污染,93,114,26,1.457,51,60,6,7,2,8,3,2,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1591.166667,270.585,3948,11628,313,2.3,1020.7,11.2,1.3,179.8,42,-9.2,13.3,1,0
北京,2015,3,127,40~281,轻度污染,86,146,20,1.194,53,87,3,10,7,6,5,0,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1591.166667,599.23,3948,11628,313,2.5,1017.2,7.7,8.8,250.4,34,-7.3,23.8,1,0
北京,2015,4,107,38~212,轻度污染,71,118,9,0.76,43,124,4,13,5,5,2,0,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1934.933333,529.58,3948,11628,313,2.7,1011.3,34.5,15.5,237.9,47,2.9,31.7,0,0
北京,2015,5,105,42~203,轻度污染,55,97,8,0.745,37,153,2,16,6,6,1,0,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1934.933333,630.3,3948,11628,313,2.6,1003.8,35,21.5,276.3,44,8.5,33.5,0,0
北京,2015,6,111,35~231,轻度污染,60,70,6,1.303,35,156,4,7,10,6,2,0,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1934.933333,866.4,3948,11628,313,2.3,1000.6,42.2,24.9,200.9,56,14.6,34.4,0,0
北京,2015,7,122,41~200,轻度污染,61,74,4,0.823,35,177,2,9,8,11,1,0,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1808.033333,675.02,3948,11628,313,1.9,1001.4,107.4,26.8,209.9,64,17.4,38.9,0,0
北京,2015,8,104,37~202,轻度污染,45,66,3,0.79,31,159,2,13,10,3,2,0,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1808.033333,671.57,3948,11628,313,1.8,1003.6,82.6,26.7,248.2,64,18.7,35.5,0,0
北京,2015,9,83,34~201,良,50,59,5,0.837,43,109,9,12,6,2,1,0,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,1808.033333,952.47,3948,11628,313,1.8,1011.6,87.2,21,192.1,68,12.7,31.6,0,0
北京,2015,10,106,27~344,轻度污染,74,86,6,0.955,55,74,8,15,3,0,2,3,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,2322.066667,847.88,3948,11628,313,2,1016,19,14.7,223.8,56,0.3,27.4,0,0
北京,2015,11,153,37~450,中度污染,119,85,12,1.983,62,25,3,11,4,3,5,4,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,2322.066667,806.03,3948,11628,313,1.8,1023.7,29.6,3.6,59.3,77,-8.7,20.1,1,0
北京,2015,12,187,23~485,中度污染,152,172,20,2.865,76,26,4,7,3,3,8,6,819.57,2170.5,48.4,20009.1,439.33,6.9,4160.916667,1839.166667,1082.25,79.393075,0.833333333,0.558333333,2322.066667,871.29,3948,11628,313,1.8,1024.3,1.8,0.2,143.4,64,-8.2,9.6,1,0
北京,2016,1,97,32~316,良,68,88,20,1.584,53,42,9,12,3,4,2,1,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1817.3,287.4,3948,11628,313,2.2,1026.1,0.1,-4.2,210.9,38,-15.2,8,1,0
北京,2016,2,71,34~238,良,44,59,15,0.903,35,68,16,8,2,1,2,0,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1817.3,287.4,3948,11628,313,2.5,1022.8,8.1,1.4,240.5,34,-9,11.7,1,0
北京,2016,3,132,37~365,轻度污染,93,136,18,1.229,57,79,9,6,5,5,3,3,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1817.3,642.4,3948,11628,313,2.38,1017.1,0,9.4,262,31,-4,23.8,1,0
北京,2016,4,106,43~209,轻度污染,69,118,10,0.803,44,116,3,11,11,3,1,0,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1987.3,557.42,3948,11628,313,2.6,1008.1,5.5,16.9,265.8,36,4.5,31.9,0,0
北京,2016,5,111,49~234,轻度污染,54,90,8,0.665,38,160,1,16,8,4,2,0,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1987.3,662.63,3948,11628,313,2.5,1005.9,24,21.5,281.9,42,7.8,34.3,0,0
北京,2016,6,126,50~189,轻度污染,59,70,5,0.767,35,183,1,9,11,9,0,0,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1987.3,924.39,3948,11628,313,2.2,1001,72.9,25.9,224.4,54,15.7,37.8,0,0
北京,2016,7,118,40~177,轻度污染,69,74,3,0.916,33,159,2,9,11,9,0,0,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1984.666667,709.74,3948,11628,313,1.9,1000.8,344.3,27.4,153.4,69,20.4,36.5,0,0
北京,2016,8,94,34~179,良,47,60,3,0.832,35,135,7,10,11,3,0,0,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1984.666667,729.93,3948,11628,313,1.8,1003.9,76.9,27.5,218.7,65,16,34.6,0,0
北京,2016,9,86,0~211,良,55,73,3,0.76,43,104,5,13,6,3,1,0,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,1984.666667,1004.28,3948,11628,313,1.7,1009.5,59,22.2,201.5,62,8.4,32,0,0
北京,2016,10,116,29~292,轻度污染,85,101,4,1.155,56,47,5,12,5,3,6,0,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,2510.5,872.66,3948,11628,313,1.8,1017.3,70.1,13.4,123.8,70,-0.2,28.4,0,0
北京,2016,11,133,28~315,轻度污染,100,134,11,1.797,68,28,3,10,8,2,6,1,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,2510.5,853.16,3948,11628,313,1.8,1020.8,8.2,4.3,154.4,62,-6.6,16.5,1,0
北京,2016,12,168,54~431,中度污染,133,159,17,2.51,80,28,0,13,4,3,7,4,830.54,2173,48.4,22721.4,452.0409,6.8,4003.25,854.75,656.1666667,85.02253333,0.825,0.791666667,2510.5,930.28,3948,11628,313,1.7,1023.7,0,0.3,164.8,56,-8.2,10.6,1,0
北京,2017,1,146,34~470,轻度污染,116,131,18,2.203,65,41,5,11,4,1,6,4,828.36,2171,48.42,21512.7,466.61,6.7,3745,316.5833333,356.8333333,88.907525,1.30555,0.654516667,2013.5,305,3948,11628,313,2,1025.02,0.2,-1.7,175.1,50,-10.1,9.5,1,0
