var_no,var_chinese_name,var_code,var_freq,var_cat,if_flow,unit
1,城市,city,,,,
2,年份,year,,,,
3,季度,quarter,,,,
4,月份,month,,,,
5,气象站点代码,station,,,,
6,空气质量指数,AQI,月度,因变量,,
7,空气质量为优天数,excellent,月度,因变量,,天
8,空气质量严重污染天数,severe,月度,因变量,,
9,地区生产总值,gdp,季度，年度,社会经济因素,流量,亿元
10,地区生产总值增长率,gdp_rate,年度,社会经济因素,,百分比
11,固定资产投资额,invest,月度，年度,社会经济因素,流量,亿元
12,人口密度,pop_density,,,,
13,常住人口,pop,年度,社会经济因素,存量,万人
14,建成区绿化覆盖率,green,年度,社会经济因素,存量,百分比
15,城市公路客运量,passenger,年度,社会经济因素,流量,万人
16,房屋建筑施工面积,con_area,年度,社会经济因素,流量,万平方米
17,私人汽车拥有量,car,年度,社会经济因素,存量,万辆
18,全社会用电量,power,年度,社会经济因素,流量,亿千瓦时
19,工业二氧化硫排放量,ind_SO2,年度,社会经济因素,流量,吨
20,工业烟粉尘排放量,ind_smoke,年度,社会经济因素,流量,吨
20,工业污染治理完成投资,ind_control,年度,社会经济因素,流量,亿元
20,废气治理完成投资额,gas_control,年度,社会经济因素,流量,亿元
20,规模以上工业增加值,ind_value,月度,,,
20,平均气温,mean_temp,月度,气象因素,,℃
20,最低气温,low_temp,月度,气象因素,,℃
20,最高气温,high_temp,月度,气象因素,,℃
20,降水量,rain,月度,气象因素,,毫米
20,平均相对湿度,humid,月度,气象因素,,百分比
20,平均风速,wind_speed,月度,气象因素,,米/秒
20,平均气压,pressure,月度,气象因素,,百帕
20,日照时数,sun,月度,气象因素,,小时
20,是否供暖,heating,,地理因素,,
20,是否临海,coast,,地理因素,,
20,经度,long,,地理因素,,
20,纬度,lat,,地理因素,,
20,海拔,height,,地理因素,,0.1m
20,PM2.5,PM2_5,月度,大气污染物,,μg/m3
20,PM10,PM10,月度,大气污染物,,μg/m3
20,二氧化硫,SO2,月度,大气污染物,,μg/m3
20,一氧化碳,CO,月度,大气污染物,,mg/m3
20,二氧化氮,NO2,月度,大气污染物,,μg/m3
20,臭氧,O3,月度,大气污染物,,μg/m3
