city,year,AQI,PM2.5,PM10,SO2,CO,NO2,O3,excellent,good,low,mid,high,severe,pop_density,pop,green,passenger,con_area,car,ind_SO2,ind_smoke,power,gdp,gdp_rate,invest,ind_control,gas_control,lat,long,height,wind_speed,pressure,mean_temp,humid,rain,sun,low_temp,high_temp,heating,coast
北京,2014,125.4166667,84.83333333,116.5833333,20.66666667,1.273666667,54.83333333,99.08333333,28,139,85,65,30,14,812.5,2151.6,47.4,52354,216.777,435.7891,40347,22710,937.0485,21944.1,7.4,7562.3,7.6,6.2,3948,11628,313,2.083333333,1012.958333,14.06666667,51.75,461.5,2344.1,-11.2,41.1,1,0
北京,2015,121.5,80.25,100.5833333,12.75,1.301833333,48.91666667,99.08333333,50,131,71,57,37,16,819.57,2170.5,48.4,49931,200.091,439.33,22070,12987,952.7169,23685.7,6.9,7990.9,10,6.7,3948,11628,313,2.133333333,1013.191667,13.7,54.91666667,458.6,2420.3,-9.2,38.9,1,0
北京,2016,113.1666667,73,96.83333333,9.75,1.160083333,48.08333333,95.75,61,129,85,49,30,9,830.54,2173,48.4,48039,227.214,452.0409,10257,7874,1020.2704,25669.1,6.8,8461.7,9.9,9.5,3948,11628,313,2.09,1013.083333,13.83333333,51.58333333,669.1,2502.1,-15.2,37.8,1,0
北京,2017,102.25,57.33333333,84.41666667,7.75,1.009166667,46.08333333,98.5,63,165,75,36,18,6,828.36,2171,48.42,44940,215.127,466.61,3799,4282,1066.8903,28014.9,6.7,8948.1,15.6666,7.8542,3948,11628,313,2.039166667,1013.1125,14.15,50,576.2,2600.1,-10.1,38.5,1,0
天津,2014,121.0833333,86.66666667,135.25,48.08333333,1.67275,54.5,82.91666667,8,160,116,39,34,6,853.12,1516.81,34.93,14530,230.291,235.1536,195395,112129,794.36,15964.54,10.1,10490,22.1,15.1,3905,11704,25,2.625,1016.7,14.03333333,58.58333333,441.4,2265.6,-11.2,40.5,1,1
天津,2015,103,69.66666667,120.25,28.83333333,1.367916667,41.41666667,76.91666667,38,183,88,28,21,5,861.79,1546.95,36.38,14218,219.6573,234.68,154605,73795,800.6,16794.67,9.4,11815,24,20.6,3905,11704,25,2.7,1016.841667,13.65,58.75,574.2,2221.1,-9.8,38.8,1,1
天津,2016,103.9166667,68.58333333,107.5833333,21.08333333,1.372833333,48.08333333,85.25,25,199,88,23,24,6,876.06,1562,37.22,13741,93.4976,234.3905,54539,57280,807.93,17837.89,9.1,12779.39,10.4,6.3,3905,11704,25,2.698333333,1016.658333,13.78333333,58.08333333,608.6,2327.4,-16.4,36.5,1,1
天津,2017,107.75,61.83333333,93.25,16.25,1.365916667,50.25,104.4166667,26,179,103,32,19,4,881.09,1557,36.84,12538,152.312,242.51,42323,44480,805.59,18549.19,3.6,11288.92,7.8305,5.9536,3905,11704,25,2.735,1016.515,14.225,54.83333333,512.9,2452.8,-9.9,38.9,1,1
石家庄,2014,160.8333333,118.3333333,206.5833333,66.66666667,1.44875,50.25,83.66666667,10,94,107,51,60,41,781.85,1061.62,44.05,6641,49.6787,191.7589,156030,104277,449.6414,5170.2653,7.9,5076.43,15.640232,13.70716962,3804,11421,1036,1.86655722,1004.383333,14.925,55.41666667,294.8,1585.4,-8.9,42.8,1,0
石家庄,2015,123.6666667,88,147.75,48.75,1.374166667,49.33333333,79,28,148,102,37,31,17,788.14,1070.16,44.41,5976,40.839,191.6,113652,87128,443.1195,5440.5988,7.5,5689.9,9.893288824,7.520359771,3804,11421,1036,1.86655722,1004.616667,14.575,56.41666667,534.5,2004.1,-9.4,39.5,1,0
石家庄,2016,135.6666667,98.33333333,163.25,40.91666667,1.56975,57.33333333,84.58333333,22,153,83,36,48,23,795.04,1078.46,44.53,4582,39.6323,202.669039,85815,52705,452.1861,5927.7293,6.8,5916,4.583898469,4.25119616,3804,11421,1036,1.86655722,1004.416667,14.56666667,58.16666667,712.6,1917.1,-14.5,38.1,1,0
石家庄,2017,133.9166667,84,150.3333333,33.33333333,1.456916667,54.08333333,103.25,6,144,115,48,32,18,692.03,1087.99,44.42,3824,42.4272,227.8,36633,27056,468.1,6460.9,7.3,6310.1,6.509804541,4.981433156,3804,11421,1036,1.86655722,1004.557926,14.98333333,53.58333333,558.5,2242.9,-8.6,39.5,1,0
太原,2014,103.0833333,68.25,129.4166667,68.08333333,1.682916667,35.41666667,66.08333333,18,183,102,34,25,1,529.11,429.89,40.5,1027,46.3618,87.82,83648,59441,253.2793,2572.1208,3.3,1746.09,6.26830855,4.655881913,3747,11233,7783,1.925,927.4166667,10.94166667,58.08333333,428.7,2513.5,-16.8,36.5,1,0
太原,2015,92.91666667,60.25,111.9166667,69.25,1.624666667,36.91666667,70.08333333,27,205,100,19,11,1,525.19,431.8675,40.3,1085,48.3054,99.2,64656,34473,240.3597,2780.0811,9,2025.61,6.07561379,3.505999355,3747,11233,7783,2.083333333,927.3666667,11.325,57.58333333,403.6,2710.3,-15.9,36.4,1,0
太原,2016,103,66.08333333,125.0833333,68.33333333,1.550916667,45.5,77.91666667,26,209,78,27,17,8,529.48,434.4429,40.85,876,57.1647,114.3,15707,21897,250.7,3002.9419,7.5,2027.71,6.92610816,5.26936468,3747,11233,7783,2,927.325,11.2,59.08333333,528.4,2730.4,-20.9,35.2,1,0
太原,2017,114.5,63.83333333,128.0833333,54.58333333,1.385166667,54.16666667,97.83333333,11,165,134,30,16,7,528.05,437.97,43.43,876,55.6506,129.5,9759,17086,270.55,3382.1819,7.5,964.86,11.22225432,9.386716658,3747,11233,7783,1.8675,927.6633333,11.45,57.25,521.2,2622,-15.7,37.9,1,0
呼和浩特,2014,86.58333333,44,115.8333333,46.5,1.907333333,44.66666667,67.08333333,29,227,92,9,6,0,138.41,303.06,40.27,699,15.2732,68.14,91360,67616,190.7568,2894.0529,8,1736.5,12.62164894,11.53048703,4049,11141,10630,3.441666667,886.5333333,7.675,45.91666667,394.8,2517.2,-20.8,33.9,1,0
呼和浩特,2015,86.25,42.75,103.8333333,34.41666667,1.280833333,38.58333333,81.83333333,48,224,67,11,12,1,139.07,305.96,37,649,55.7445,76.938993,67279,37983,187.6982,3090.52,8.3,1618.6,7.608656649,6.378099424,4049,11141,10630,3.341666667,886.6416667,7.658333333,46.91666667,361.9,2666.3,-20.5,33.9,1,0
呼和浩特,2016,84.08333333,40.16666667,93.5,28.33333333,1.19675,41.58333333,91.41666667,60,220,63,18,3,1,138.09,308.87,38.3,466,11.7074,85.737985,52316,79103,195.7993,3173.59,7.7,1849.2,7.107625951,5.619576183,4049,11141,10630,3.4275,886.5166667,7.083333333,49,531.3,2838.4,-27.1,32.6,1,0
呼和浩特,2017,89.83333333,42.91666667,93.91666667,28.91666667,1.30875,45.41666667,100.6666667,38,216,88,18,1,2,139.23,311.48,39.87,435,41.7059,94.536978,31024,111036,217.88,2743.72,5,1490.8,7.179858146,4.495953394,4049,11141,10630,3.3875,886.7725,7.741666667,44,325.3,2746.4,-22.8,34.9,1,0
沈阳,2014,111.3333333,74.33333333,124,82.5,1.0765,52.16666667,93.08333333,9,185,109,33,23,3,568.3,828.7,41.78,20801,217.477,115.138,131344,83226,296.3291,7098.7051,6,6564.06,9.472683598,8.084017939,4144,12331,490,2.208333333,1010.566667,9.2,58.58333333,362.9,2690,-25.9,35.4,1,0
沈阳,2015,110.0833333,72.16666667,115.25,66.16666667,1.027833333,47.75,86.5,26,182,95,29,23,8,567.65,829.1,41.78,15554,83.4131,134.6,97839,84871,307.2,7272.3051,3.4,5326,4.819621186,3.627399103,4144,12331,490,2.175,1010.616667,9.008333333,61.83333333,573.2,2412.8,-23.1,35,1,0
沈阳,2016,90.66666667,53.83333333,94.25,47.58333333,0.929166667,40.5,94.41666667,40,209,92,12,12,0,570.76,829.2,36.03,15244,70.5807,156.7,37530,30130,325.6,5546.4498,-5.6,1631.6,4.836679543,4.487640813,4144,12331,490,2.110833333,1010.525,8.825,62.83333333,968,2422.1,-24.8,35.2,1,0
沈阳,2017,90.66666667,49.33333333,83.16666667,36.91666667,0.954833333,40.41666667,98.91666667,38,218,72,25,10,0,573.09,829.4,38.88,14780,69.6708,179.3,25904,20489,338.6,5865,3.5,1484,3.26884775,2.527744237,4144,12331,490,2.085,1010.315,9.333333333,58.75,463.8,2556.3,-22.3,37.5,1,0
大连,2014,78.75,52.33333333,85.41666667,28.25,0.804333333,39,71.75,68,214,55,19,5,1,472.63,698.4,44.84,10354,105.434,94.2315,94370,72465,310.4773,7655.6,5.8,6773.6333,10.21581761,8.718210838,3854,12138,915,3.083333333,1005.991667,12.35,61.33333333,436.5,2694.4,-10.3,33.5,1,1
大连,2015,87.16666667,47.66666667,81,29.5,0.790333333,32.83333333,99.16666667,46,220,72,15,7,3,472.4,698.7,44.93,7730,82.354,94.2,95796,54112,307.9076,7731.6363,4.2,4559.2792,5.124036685,3.856511821,3854,12138,915,2.95,1005.958333,12.09166667,62.5,581.6,2674,-12.7,36.6,1,1
大连,2016,78.25,38.66666667,67.66666667,25.91666667,1.000333333,30.25,106.4166667,63,231,52,15,4,0,473.99,698.7,43.14,7647,44.962,117.5097,51021,32710,321.0706,6810.1998,6.5,1436.3557,5.938709489,5.510142824,3854,12138,915,2.873333333,1005.95,12.025,60.91666667,380.2,2665.7,-18.8,33,1,1
大连,2017,74.08333333,33.5,57.75,17.41666667,0.949416667,27.83333333,105.5833333,92,205,54,8,4,0,473.2,698.7,46.56,7564,37.456,130.158446,34282,28931,338.0471,6989.8246,7.1,1652.8,3.895766823,3.012530068,3854,12138,915,2.8525,1005.93,12.44166667,57.58333333,521.7,2684,-10.5,34,1,1
长春,2014,97.91666667,65.5,113.0833333,36,0.9285,44.16666667,83.33333333,20,220,75,31,12,5,366.39,754.5,38.84,8883,60.695298,96.5955,56210,70944,188.5731,5342.4,6.6,3924.5,6.347494845,5.92174824,4354,12513,2368,2.483333333,987.35,7.141666667,57.16666667,446,2674.5,-26.9,34.4,1,0
长春,2015,100.9166667,64.41666667,102.5833333,33.83333333,0.88,43.5,92.75,35,196,89,17,18,8,366.13,753.8,38.76,8594,61.47753,111.1,52369,80781,192.789,5592.2,6.5,4400,4.811561864,3.380022797,4354,12513,2368,2.65,987.1083333,7.175,60.16666667,530.5,2695.7,-25.4,34.1,1,0
