"city","year","month","severe","gdp","gdp_rate","invest","pop","green","passenger","con_area","car","power","ind_SO2","ind_smoke","ind_control","gas_control","mean_temp","rain","humid","wind_speed","pressure","sun","heating","coast","long","lat","height"
"北京",2014,1,1,1471,7.4,268.98,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,-0.6,0,45,1.9,1022.1,192.4,1,0,116.466666666667,39.8,31.3
"北京",2014,2,7,1471,7.4,268.98,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,-0.4,4.8,55,2,1024.5,107.9,1,0,116.466666666667,39.8,31.3
"北京",2014,3,1,1471,7.4,568.14,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,10.1,0.9,37,2.4,1015.7,233.8,1,0,116.466666666667,39.8,31.3
"北京",2014,4,0,1785.433333,7.4,510.65,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,17.1,20.8,45,2.2,1012.4,231.1,0,0,116.466666666667,39.8,31.3
"北京",2014,5,0,1785.433333,7.4,590.47,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,22.2,33.7,40,2.8,1003.4,274.1,0,0,116.466666666667,39.8,31.3
"北京",2014,6,0,1785.433333,7.4,799.08,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,25.1,91.8,59,2,1001.9,237.1,0,0,116.466666666667,39.8,31.3
"北京",2014,7,0,1668.266667,7.4,653.99,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,28.1,119.8,61,2.1,1000.4,174.4,0,0,116.466666666667,39.8,31.3
"北京",2014,8,0,1668.266667,7.4,739.99,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,26.3,50.1,62,1.8,1004.4,224.9,0,0,116.466666666667,39.8,31.3
"北京",2014,9,0,1668.266667,7.4,817.86,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,21,127.6,66,1.8,1010.6,157.3,0,0,116.466666666667,39.8,31.3
"北京",2014,10,4,2185.566667,7.4,778.5,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,14,12,65,1.6,1016.5,122.9,0,0,116.466666666667,39.8,31.3
"北京",2014,11,1,2185.566667,7.4,649.06,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,6.4,0,52,1.9,1019.8,167.2,1,0,116.466666666667,39.8,31.3
"北京",2014,12,0,2185.566667,7.4,916.57,2151.6,47.4,4362.833333,216.777,435.7891,78.087375,3362.25,1892.5,0.633333333,0.516666667,-0.5,0,34,2.5,1023.8,221,1,0,116.466666666667,39.8,31.3
"北京",2015,1,1,1591.166667,6.9,270.585,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,-0.6,0.4,43,2.1,1024.1,198.3,1,0,116.466666666667,39.8,31.3
"北京",2015,2,2,1591.166667,6.9,270.585,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,1.3,11.2,42,2.3,1020.7,179.8,1,0,116.466666666667,39.8,31.3
"北京",2015,3,0,1591.166667,6.9,599.23,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,8.8,7.7,34,2.5,1017.2,250.4,1,0,116.466666666667,39.8,31.3
"北京",2015,4,0,1934.933333,6.9,529.58,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,15.5,34.5,47,2.7,1011.3,237.9,0,0,116.466666666667,39.8,31.3
"北京",2015,5,0,1934.933333,6.9,630.3,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,21.5,35,44,2.6,1003.8,276.3,0,0,116.466666666667,39.8,31.3
"北京",2015,6,0,1934.933333,6.9,866.4,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,24.9,42.2,56,2.3,1000.6,200.9,0,0,116.466666666667,39.8,31.3
"北京",2015,7,0,1808.033333,6.9,675.02,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,26.8,107.4,64,1.9,1001.4,209.9,0,0,116.466666666667,39.8,31.3
"北京",2015,8,0,1808.033333,6.9,671.57,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,26.7,82.6,64,1.8,1003.6,248.2,0,0,116.466666666667,39.8,31.3
"北京",2015,9,0,1808.033333,6.9,952.47,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,21,87.2,68,1.8,1011.6,192.1,0,0,116.466666666667,39.8,31.3
"北京",2015,10,3,2322.066667,6.9,847.88,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,14.7,19,56,2,1016,223.8,0,0,116.466666666667,39.8,31.3
"北京",2015,11,4,2322.066667,6.9,806.03,2170.5,48.4,4160.916667,200.091,439.33,79.393075,1839.166667,1082.25,0.833333333,0.558333333,3.6,29.6,77,1.8,1023.7,59.3,1,0,116.466666666667,39.8,31.3
