"city","year","severe","gdp","gdp_rate","invest","pop","green","passenger","con_area","car","power","ind_SO2","ind_smoke","ind_control","gas_control","mean_temp","rain","humid","wind_speed","pressure","sun","heating","coast","long","lat","height"
"北京",2014,14,21944.1,7.4,7562.3,2151.6,47.4,52354,216.777,435.7891,937.0485,40347,22710,7.6,6.2,14.06666667,461.5,51.75,2.083333333,1012.958333,2344.1,1,0,116.466666666667,39.8,31.3
"北京",2015,16,23685.7,6.9,7990.9,2170.5,48.4,49931,200.091,439.33,952.7169,22070,12987,10,6.7,13.7,458.6,54.91666667,2.133333333,1013.191667,2420.3,1,0,116.466666666667,39.8,31.3
"北京",2016,9,25669.1,6.8,8461.7,2173,48.4,48039,227.214,452.0409,1020.2704,10257,7874,9.9,9.5,13.83333333,669.1,51.58333333,2.09,1013.083333,2502.1,1,0,116.466666666667,39.8,31.3
"北京",2017,6,28014.9,6.7,8948.1,2171,48.42,44940,215.127,466.61,1066.8903,3799,4282,15.6666,7.8542,14.15,576.2,50,2.039166667,1013.1125,2600.1,1,0,116.466666666667,39.8,31.3
"天津",2014,6,15964.54,10.1,10490,1516.81,34.93,14530,230.291,235.1536,794.36,195395,112129,22.1,15.1,14.03333333,441.4,58.58333333,2.625,1016.7,2265.6,1,1,117.066666666667,39.0833333333333,2.5
"天津",2015,5,16794.67,9.4,11815,1546.95,36.38,14218,219.6573,234.68,800.6,154605,73795,24,20.6,13.65,574.2,58.75,2.7,1016.841667,2221.1,1,1,117.066666666667,39.0833333333333,2.5
"天津",2016,6,17837.89,9.1,12779.39,1562,37.22,13741,93.4976,234.3905,807.93,54539,57280,10.4,6.3,13.78333333,608.6,58.08333333,2.698333333,1016.658333,2327.4,1,1,117.066666666667,39.0833333333333,2.5
"天津",2017,4,18549.19,3.6,11288.92,1557,36.84,12538,152.312,242.51,805.59,42323,44480,7.8305,5.9536,14.225,512.9,54.83333333,2.735,1016.515,2452.8,1,1,117.066666666667,39.0833333333333,2.5
"石家庄",2014,41,5170.2653,7.9,5076.43,1061.62,44.05,6641,49.6787,191.7589,449.6414,156030,104277,15.640232,13.70716962,14.925,294.8,55.41666667,1.86655722,1004.383333,1585.4,1,0,114.35,38.0666666666667,103.6
"石家庄",2015,17,5440.5988,7.5,5689.9,1070.16,44.41,5976,40.839,191.6,443.1195,113652,87128,9.893288824,7.520359771,14.575,534.5,56.41666667,1.86655722,1004.616667,2004.1,1,0,114.35,38.0666666666667,103.6
"石家庄",2016,23,5927.7293,6.8,5916,1078.46,44.53,4582,39.6323,202.669039,452.1861,85815,52705,4.583898469,4.25119616,14.56666667,712.6,58.16666667,1.86655722,1004.416667,1917.1,1,0,114.35,38.0666666666667,103.6
"石家庄",2017,18,6460.9,7.3,6310.1,1087.99,44.42,3824,42.4272,227.8,468.1,36633,27056,6.509804541,4.981433156,14.98333333,558.5,53.58333333,1.86655722,1004.557926,2242.9,1,0,114.35,38.0666666666667,103.6
"太原",2014,1,2572.1208,3.3,1746.09,429.89,40.5,1027,46.3618,87.82,253.2793,83648,59441,6.26830855,4.655881913,10.94166667,428.7,58.08333333,1.925,927.4166667,2513.5,1,0,112.55,37.7833333333333,778.3
"太原",2015,1,2780.0811,9,2025.61,431.8675,40.3,1085,48.3054,99.2,240.3597,64656,34473,6.07561379,3.505999355,11.325,403.6,57.58333333,2.083333333,927.3666667,2710.3,1,0,112.55,37.7833333333333,778.3
"太原",2016,8,3002.9419,7.5,2027.71,434.4429,40.85,876,57.1647,114.3,250.7,15707,21897,6.92610816,5.26936468,11.2,528.4,59.08333333,2,927.325,2730.4,1,0,112.55,37.7833333333333,778.3
"太原",2017,7,3382.1819,7.5,964.86,437.97,43.43,876,55.6506,129.5,270.55,9759,17086,11.22225432,9.386716658,11.45,521.2,57.25,1.8675,927.6633333,2622,1,0,112.55,37.7833333333333,778.3
"呼和浩特",2014,0,2894.0529,8,1736.5,303.06,40.27,699,15.2732,68.14,190.7568,91360,67616,12.62164894,11.53048703,7.675,394.8,45.91666667,3.441666667,886.5333333,2517.2,1,0,111.683333333333,40.8166666666667,1063
"呼和浩特",2015,1,3090.52,8.3,1618.6,305.96,37,649,55.7445,76.938993,187.6982,67279,37983,7.608656649,6.378099424,7.658333333,361.9,46.91666667,3.341666667,886.6416667,2666.3,1,0,111.683333333333,40.8166666666667,1063
"呼和浩特",2016,1,3173.59,7.7,1849.2,308.87,38.3,466,11.7074,85.737985,195.7993,52316,79103,7.107625951,5.619576183,7.083333333,531.3,49,3.4275,886.5166667,2838.4,1,0,111.683333333333,40.8166666666667,1063
"呼和浩特",2017,2,2743.72,5,1490.8,311.48,39.87,435,41.7059,94.536978,217.88,31024,111036,7.179858146,4.495953394,7.741666667,325.3,44,3.3875,886.7725,2746.4,1,0,111.683333333333,40.8166666666667,1063
"沈阳",2014,3,7098.7051,6,6564.06,828.7,41.78,20801,217.477,115.138,296.3291,131344,83226,9.472683598,8.084017939,9.2,362.9,58.58333333,2.208333333,1010.566667,2690,1,0,123.516666666667,41.7333333333333,49
