变量,模型I,模型II,模型III,模型IV
截距项,0.9879,-2.2133,-0.5924,-1.4310
,-1.5107,-2.9846,-1.47,-2.3187
,0.5132,0.4601,0.6870,0.5385
,,,,
常住人口,$-0.0005^{*}$,$0.0606_.$,$-^{***}$,$-^{*}$
,-0.0002,-0.0306,-36.825,-4.848
,0.0283,0.0506,0.0000,0.0294
,,,,
建成区绿化覆盖率,0.0312,-0.0001,$-^{**}$,$-^{**}$
,-0.0164,-0.0005,-6.664,-5.298
,0.0573,0.7947,0.0099,0.0016
,,,,
私人汽车拥有量,$0.0033^{**}$,0.0010,-0.0018,-0.0030
,-0.0012,-0.002,-0.002,-0.0023
,0.0044,0.6142,0.3679,0.1954
,,,,
降水量,-0.0004,$-0.0009^{*}$,$-0.0011^{**}$,$-0.0010^{*}$
,-0.0003,-0.0004,-0.0004,-0.0004
,0.1715,0.0450,0.0020,0.0212
,,,,
平均相对湿度,$-0.0369^{*}$,-0.0124,-0.0190,-0.0179
,-0.0151,-0.0279,-0.0209,-0.0271
,0.0144,0.6575,0.3636,0.5113
,,,,
平均风速,$-0.7383^{***}$,$-0.7571^{*}$,$-^{***}$,$-^{**}$
,-0.1369,-0.3258,-15.146,-7.484
,0.0000,0.0222,0.0006,0.0071
,,,,
日照时数,$-0.0020^{***}$,$-0.0013^{***}$,$-^{*}$,$-^{*}$
,-0.0002,-0.0004,-13.154,-6.066
,0.0000,0.0005,0.0185,0.0151
,,,,
是否供暖,$0.1682^{***}$,1.2056,0.8638,1.2317
,-0.0244,-0.8149,-0.5865,-0.7414
,0.0000,0.1491,0.1408,0.1067
,,,,
是否临海,$1.5828^{***}$,-0.6781,$-0.8987^{*}$,$-0.4480^{**}$
,-0.3686,-0.5552,-0.4066,-0.1663
,0.0000,0.2311,0.0271,0.0083
,,,,
纬度,-0.1079,$0.1575^{*}$,$0.0921^{**}$,$-0.4746^{*}$
,-0.2521,-0.0599,-0.0321,-0.1957
,0.6688,0.0132,0.0041,0.0171
,,,,
AIC,543.3019,534.3405,476.7404,540.6188
BIC,575.6600,569.6402,546.4621,587.6851
